Term1	Term2	Correlation
opportunity	throne	1.0
opportunity	wrestle	1.0
opposing	patience	1.0
opposing	tooth	1.0
orient	skill	1.0
orient	slower	1.0
orient	termed	1.0
orient	tonight	1.0
orient	venture	1.0
orient	wrecked	1.0
ought	remove	1.0
ought	sinew	1.0
ought	start	1.0
overtake	punctual	1.0
overtake	safer	1.0
overtake	shape	1.0
overtake	signal	1.0
overtake	thunder	1.0
overtake	you'd	1.0
pane	risk	1.0
pane	scrutinize	1.0
pane	shadows	1.0
pane	tore	1.0
parted	sleepy	1.0
parted	thinking	1.0
passes	rich	1.0
passes	rivet	1.0
passes	science	1.0
passes	shelf	1.0
passes	shows	1.0
pathetic	problem	1.0
pathetic	rip	1.0
pathetic	shook	1.0
pathetic	sooner	1.0
pathetic	supple	1.0
pathetic	unobtrusive	1.0
patience	tooth	1.0
pattern	played	1.0
pattern	shore	1.0
pattern	song	1.0
pencil	rule	1.0
pencil	vital	1.0
pencil	want	1.0
pencil	was't	1.0
periods	presumptuous	1.0
periods	snake	1.0
periods	unexpected	1.0
perpetual	red	1.0
perpetual	repaired	1.0
perpetual	standing	1.0
perpetual	struggle	1.0
perpetual	theirs	1.0
person	plan	1.0
person	speech	1.0
person	spicy	1.0
person	steal	1.0
person	store	1.0
person	visited	1.0
person	whosoever	1.0
perusal	setting	1.0
perusal	tenderly	1.0
perusal	woods	1.0
places	shalt	1.0
places	smile	1.0
places	somebody	1.0
places	stanza	1.0
places	strove	1.0
plan	speech	1.0
plan	spicy	1.0
plan	steal	1.0
plan	store	1.0
plan	visited	1.0
plan	whosoever	1.0
plank	pondered	1.0
plank	practised	1.0
plank	reason	1.0
plank	sauntering	1.0
plank	sounded	1.0
plank	spurn	1.0
plank	weed	1.0
plank	worked	1.0
plank	worlds	1.0
played	shore	1.0
played	song	1.0
pleased	society	1.0
pleased	wave	1.0
poetry	supposed	1.0
poetry	travelled	1.0
polite	sung	1.0
polite	veins	1.0
pondered	practised	1.0
pondered	reason	1.0
pondered	sauntering	1.0
pondered	sounded	1.0
pondered	spurn	1.0
pondered	weed	1.0
pondered	worked	1.0
pondered	worlds	1.0
portentous	sands	1.0
portentous	signs	1.0
pound	says	1.0
pound	seek	1.0
pound	steady	1.0
pound	stiller	1.0
pound	triumph	1.0
pound	wild	1.0
pours	robin	1.0
pours	robins	1.0
pours	runs	1.0
pours	simplicity	1.0
practise	send	1.0
practise	tossed	1.0
practised	reason	1.0
practised	sauntering	1.0
practised	sounded	1.0
practised	spurn	1.0
practised	weed	1.0
practised	worked	1.0
practised	worlds	1.0
praise	toils	1.0
praise	whoso	1.0
presumed	slowly	1.0
presumed	started	1.0
presumed	subtle	1.0
presumed	who's	1.0
presuming	retreat	1.0
presuming	robe	1.0
presuming	shuts	1.0
presuming	springs	1.0
presuming	staid	1.0
presuming	transporting	1.0
presuming	windows	1.0
presumption	sorrow	1.0
presumption	talked	1.0
presumption	tie	1.0
presumption	withdraws	1.0
presumptuous	snake	1.0
presumptuous	unexpected	1.0
prince	signalize	1.0
prince	site	1.0
prince	trace	1.0
prism	proof	1.0
prism	ruddy	1.0
prism	stain	1.0
problem	rip	1.0
problem	shook	1.0
problem	sooner	1.0
problem	supple	1.0
problem	unobtrusive	1.0
proof	ruddy	1.0
proof	stain	1.0
proviso	scan	1.0
proviso	shorter	1.0
proviso	treading	1.0
proviso	write	1.0
punctual	safer	1.0
punctual	shape	1.0
punctual	signal	1.0
punctual	thunder	1.0
punctual	you'd	1.0
pursue	quite	1.0
pursue	roads	1.0
pursue	worms	1.0
quality	stint	1.0
quality	tradition	1.0
quality	wish	1.0
question	root	1.0
question	save	1.0
question	strong	1.0
question	takes	1.0
quite	roads	1.0
quite	worms	1.0
rapture	taught	1.0
rapture	thirst	1.0
reached	testify	1.0
reached	upper	1.0
reached	walls	1.0
reason	sauntering	1.0
reason	sounded	1.0
reason	spurn	1.0
reason	weed	1.0
reason	worked	1.0
reason	worlds	1.0
red	repaired	1.0
red	standing	1.0
red	struggle	1.0
red	theirs	1.0
remember	spill	1.0
remember	throne	1.0
remember	wrestle	1.0
remove	sinew	1.0
remove	start	1.0
repaired	standing	1.0
repaired	struggle	1.0
repaired	theirs	1.0
repine	starved	1.0
repine	til	1.0
reserved	ribbon	1.0
reserved	stile	1.0
respectful	rooms	1.0
respectful	secret	1.0
respectful	shores	1.0
respectful	supreme	1.0
respectful	teasing	1.0
respectful	wedged	1.0
respectful	wood	1.0
result	soon	1.0
result	vanquished	1.0
result	wiser	1.0
retreat	robe	1.0
retreat	shuts	1.0
retreat	springs	1.0
retreat	staid	1.0
retreat	transporting	1.0
retreat	windows	1.0
ribbon	stile	1.0
rich	rivet	1.0
rich	science	1.0
rich	shelf	1.0
rich	shows	1.0
rip	shook	1.0
rip	sooner	1.0
rip	supple	1.0
rip	unobtrusive	1.0
risk	scrutinize	1.0
risk	shadows	1.0
risk	tore	1.0
rivet	science	1.0
rivet	shelf	1.0
rivet	shows	1.0
roads	worms	1.0
robe	shuts	1.0
robe	springs	1.0
robe	staid	1.0
robe	transporting	1.0
robe	windows	1.0
robin	robins	1.0
robin	runs	1.0
robin	simplicity	1.0
robins	runs	1.0
robins	simplicity	1.0
rooms	secret	1.0
rooms	shores	1.0
rooms	supreme	1.0
rooms	teasing	1.0
rooms	wedged	1.0
rooms	wood	1.0
root	save	1.0
root	strong	1.0
root	takes	1.0
ruddy	stain	1.0
rule	vital	1.0
rule	want	1.0
rule	was't	1.0
runs	simplicity	1.0
safer	shape	1.0
safer	signal	1.0
safer	thunder	1.0
safer	you'd	1.0
salary	souvenir	1.0
salary	undone	1.0
salary	walking	1.0
sands	signs	1.0
sauntering	sounded	1.0
sauntering	spurn	1.0
sauntering	weed	1.0
sauntering	worked	1.0
sauntering	worlds	1.0
save	strong	1.0
save	takes	1.0
says	seek	1.0
says	steady	1.0
says	stiller	1.0
says	triumph	1.0
says	wild	1.0
scan	shorter	1.0
scan	treading	1.0
scan	write	1.0
science	shelf	1.0
science	shows	1.0
scrutinize	shadows	1.0
scrutinize	tore	1.0
secret	shores	1.0
secret	supreme	1.0
secret	teasing	1.0
secret	wedged	1.0
secret	wood	1.0
seek	steady	1.0
seek	stiller	1.0
seek	triumph	1.0
seek	wild	1.0
send	tossed	1.0
sense	split	1.0
sense	table	1.0
sense	width	1.0
separate	sue	1.0
separate	unless	1.0
separate	wide	1.0
seraphim	spent	1.0
seraphim	strange	1.0
seraphim	wealth	1.0
setting	tenderly	1.0
setting	woods	1.0
shadows	tore	1.0
shalt	smile	1.0
shalt	somebody	1.0
shalt	stanza	1.0
shalt	strove	1.0
shape	signal	1.0
shape	thunder	1.0
shape	you'd	1.0
shelf	shows	1.0
shimmering	solemn	1.0
shook	sooner	1.0
shook	supple	1.0
shook	unobtrusive	1.0
shore	song	1.0
shores	supreme	1.0
shores	teasing	1.0
shores	wedged	1.0
shores	wood	1.0
shorter	treading	1.0
shorter	write	1.0
shuts	springs	1.0
shuts	staid	1.0
shuts	transporting	1.0
shuts	windows	1.0
signal	thunder	1.0
signal	you'd	1.0
signalize	site	1.0
signalize	trace	1.0
sinew	start	1.0
site	trace	1.0
skill	slower	1.0
skill	termed	1.0
skill	tonight	1.0
skill	venture	1.0
skill	wrecked	1.0
sleepy	thinking	1.0
slid	species	1.0
slid	violets	1.0
slower	termed	1.0
slower	tonight	1.0
slower	venture	1.0
slower	wrecked	1.0
slowly	started	1.0
slowly	subtle	1.0
slowly	who's	1.0
smile	somebody	1.0
smile	stanza	1.0
smile	strove	1.0
smiles	time's	1.0
smiles	vision	1.0
smiles	yes	1.0
snake	unexpected	1.0
society	wave	1.0
somebody	stanza	1.0
somebody	strove	1.0
soon	vanquished	1.0
soon	wiser	1.0
sooner	supple	1.0
sooner	unobtrusive	1.0
sorrow	talked	1.0
sorrow	tie	1.0
sorrow	withdraws	1.0
sounded	spurn	1.0
sounded	weed	1.0
sounded	worked	1.0
sounded	worlds	1.0
souvenir	undone	1.0
souvenir	walking	1.0
species	violets	1.0
speech	spicy	1.0
speech	steal	1.0
speech	store	1.0
speech	visited	1.0
speech	whosoever	1.0
spent	strange	1.0
spent	wealth	1.0
spicy	steal	1.0
spicy	store	1.0
spicy	visited	1.0
spicy	whosoever	1.0
spill	throne	1.0
spill	wrestle	1.0
split	table	1.0
split	width	1.0
splits	throat	1.0
springs	staid	1.0
springs	transporting	1.0
springs	windows	1.0
spurn	weed	1.0
spurn	worked	1.0
spurn	worlds	1.0
staid	transporting	1.0
staid	windows	1.0
standing	struggle	1.0
standing	theirs	1.0
stanza	strove	1.0
started	subtle	1.0
started	who's	1.0
starved	til	1.0
steady	stiller	1.0
steady	triumph	1.0
steady	wild	1.0
steal	store	1.0
steal	visited	1.0
steal	whosoever	1.0
stem	wondered	1.0
stem	you're	1.0
stiller	triumph	1.0
stiller	wild	1.0
stint	tradition	1.0
stint	wish	1.0
store	visited	1.0
store	whosoever	1.0
strange	wealth	1.0
strong	takes	1.0
struggle	theirs	1.0
subtle	who's	1.0
sue	unless	1.0
sue	wide	1.0
sung	veins	1.0
supple	unobtrusive	1.0
supposed	travelled	1.0
supreme	teasing	1.0
supreme	wedged	1.0
supreme	wood	1.0
table	width	1.0
talked	tie	1.0
talked	withdraws	1.0
taught	thirst	1.0
teasing	wedged	1.0
teasing	wood	1.0
tenderly	woods	1.0
termed	tonight	1.0
termed	venture	1.0
termed	wrecked	1.0
testify	upper	1.0
testify	walls	1.0
throne	wrestle	1.0
thunder	you'd	1.0
tie	withdraws	1.0
time's	vision	1.0
time's	yes	1.0
toes	violet	1.0
toils	whoso	1.0
tonight	venture	1.0
tonight	wrecked	1.0
tradition	wish	1.0
transporting	windows	1.0
treading	write	1.0
triumph	wild	1.0
undone	walking	1.0
unless	wide	1.0
upper	walls	1.0
vanquished	wiser	1.0
venture	wrecked	1.0
vision	yes	1.0
visited	whosoever	1.0
vital	want	1.0
vital	was't	1.0
want	was't	1.0
wedged	wood	1.0
weed	worked	1.0
weed	worlds	1.0
wondered	you're	1.0
worked	worlds	1.0
anybody	eden	0.9883174
anybody	humming	0.9883174
boy	confident	0.9883174
cold	forgot	0.9883174
cool	thanksgiving	0.9883174
glory	playing	0.9883174
letter	ready	0.9883174
patient	sum	0.9883174
ready	streets	0.9883174
ready	window	0.9883174
art	brow	0.98748386
art	daffodil	0.98748386
art	ghost	0.98748386
art	holy	0.98748386
art	location's	0.98748386
art	salary	0.98748386
art	souvenir	0.98748386
art	undone	0.98748386
art	walking	0.98748386
pang	weary	0.9811049
art	definition	0.98039263
art	entire	0.98039263
despair	died	0.97590005
lies	son	0.97566545
faithful	kept	0.97271436
clock	lord	0.9720615
heavens	lord	0.9720615
hid	lord	0.9720615
inference	twice	0.9720615
stand	twice	0.9720615
amended	kept	0.9688639
beating	kept	0.9688639
foliage	kept	0.9688639
homes	kept	0.9688639
kept	lying	0.9688639
kept	proviso	0.9688639
kept	scan	0.9688639
kept	shorter	0.9688639
kept	treading	0.9688639
kept	write	0.9688639
prospective	twas	0.96885693
looked	place	0.96698755
perish	times	0.96428573
ago	times	0.96428573
blossom	times	0.96428573
bud	times	0.96428573
fragrant	times	0.96428573
harm	times	0.96428573
hurt	times	0.96428573
meridian	times	0.96428573
noise	times	0.96428573
separate	times	0.96428573
sue	times	0.96428573
times	unless	0.96428573
times	wide	0.96428573
beauty	vast	0.9594032
carts	times	0.9593531
stranger	times	0.9593531
earth	just	0.9587642
ball	jesus	0.958187
bee's	jesus	0.958187
fading	jesus	0.958187
jesus	slid	0.958187
jesus	species	0.958187
jesus	violets	0.958187
land	thought	0.95600885
door	moved	0.9525793
prove	word	0.9518173
abroad	seas	0.950297
clouds	son	0.94947404
eden	privilege	0.94947404
end	patient	0.94947404
equally	slow	0.94947404
humming	privilege	0.94947404
son	wherefore	0.94947404
shut	side	0.948881
meet	spring	0.94767654
adequate	can't	0.94733095
ample	makes	0.94733095
bliss	east	0.94733095
can't	sovereign	0.94733095
circuit	tho	0.94733095
dream	stands	0.94733095
half	spacious	0.94733095
hour	makes	0.94733095
ignorant	june	0.94733095
glory	weary	0.94676214
behind	somewhat	0.9456109
adjusted	behind	0.9456109
bars	behind	0.9456109
behind	cases	0.9456109
behind	chased	0.9456109
behind	guides	0.9456109
behind	honor	0.9456109
behind	odd	0.9456109
behind	reached	0.9456109
behind	testify	0.9456109
behind	upper	0.9456109
behind	walls	0.9456109
cloud	lawn	0.9456109
forever	pit	0.9456109
boy	smaller	0.9456109
forever	oftener	0.9456109
forever	secure	0.9456109
future	passion	0.9456109
future	string	0.9456109
glory	spell	0.9456109
i've	passion	0.9456109
i've	string	0.9456109
midnight	passion	0.9456109
midnight	string	0.9456109
she's	spell	0.9456109
spell	sum	0.9456109
spell	suspense	0.9456109
affidavit	glory	0.9456109
affidavit	she's	0.9456109
affidavit	sum	0.9456109
affidavit	suspense	0.9456109
ajar	boy	0.9456109
amended	cool	0.9456109
amended	ready	0.9456109
anybody	church	0.9456109
anybody	comest	0.9456109
anybody	concern	0.9456109
anybody	dollie's	0.9456109
anybody	fences	0.9456109
anybody	gifts	0.9456109
anybody	places	0.9456109
anybody	shalt	0.9456109
anybody	smile	0.9456109
anybody	somebody	0.9456109
anybody	stanza	0.9456109
anybody	strove	0.9456109
beating	cool	0.9456109
beating	ready	0.9456109
beggar	boy	0.9456109
beginning	forever	0.9456109
boy	bulb	0.9456109
boy	failure	0.9456109
boy	followed	0.9456109
boy	giant	0.9456109
boy	gush	0.9456109
boy	mr	0.9456109
boy	presumed	0.9456109
boy	slowly	0.9456109
boy	started	0.9456109
boy	subtle	0.9456109
boy	who's	0.9456109
bubble	future	0.9456109
bubble	i've	0.9456109
bubble	midnight	0.9456109
ceased	future	0.9456109
ceased	i've	0.9456109
ceased	midnight	0.9456109
chill	forever	0.9456109
church	neighbors	0.9456109
cold	erect	0.9456109
cold	gallant	0.9456109
cold	greedy	0.9456109
cold	laid	0.9456109
cold	nought	0.9456109
cold	perusal	0.9456109
cold	setting	0.9456109
cold	tenderly	0.9456109
cold	woods	0.9456109
comest	neighbors	0.9456109
concern	neighbors	0.9456109
cool	foliage	0.9456109
cool	homes	0.9456109
cool	lying	0.9456109
cool	proviso	0.9456109
cool	scan	0.9456109
cool	shorter	0.9456109
cool	treading	0.9456109
cool	write	0.9456109
developed	future	0.9456109
developed	i've	0.9456109
developed	midnight	0.9456109
dollie's	neighbors	0.9456109
drama	glory	0.9456109
drama	she's	0.9456109
drama	sum	0.9456109
drama	suspense	0.9456109
ecstasy's	forever	0.9456109
farther	glory	0.9456109
farther	she's	0.9456109
farther	sum	0.9456109
farther	suspense	0.9456109
fences	neighbors	0.9456109
foliage	ready	0.9456109
forever	hated	0.9456109
forever	impetus	0.9456109
forever	lain	0.9456109
forever	march	0.9456109
forever	quality	0.9456109
forever	stint	0.9456109
forever	tradition	0.9456109
forever	wish	0.9456109
freight	glory	0.9456109
freight	she's	0.9456109
freight	sum	0.9456109
freight	suspense	0.9456109
future	hasn't	0.9456109
future	thousand	0.9456109
gifts	neighbors	0.9456109
glory	leaped	0.9456109
glory	minutest	0.9456109
glory	pencil	0.9456109
glory	rule	0.9456109
glory	vital	0.9456109
glory	want	0.9456109
glory	was't	0.9456109
hasn't	i've	0.9456109
hasn't	midnight	0.9456109
homes	ready	0.9456109
i've	thousand	0.9456109
leaped	she's	0.9456109
leaped	sum	0.9456109
leaped	suspense	0.9456109
lying	ready	0.9456109
midnight	thousand	0.9456109
minutest	she's	0.9456109
minutest	sum	0.9456109
minutest	suspense	0.9456109
neighbors	places	0.9456109
neighbors	shalt	0.9456109
neighbors	smile	0.9456109
neighbors	somebody	0.9456109
neighbors	stanza	0.9456109
neighbors	strove	0.9456109
pencil	she's	0.9456109
pencil	sum	0.9456109
pencil	suspense	0.9456109
proviso	ready	0.9456109
ready	scan	0.9456109
ready	shorter	0.9456109
ready	treading	0.9456109
ready	write	0.9456109
rule	she's	0.9456109
rule	sum	0.9456109
rule	suspense	0.9456109
she's	vital	0.9456109
she's	want	0.9456109
she's	was't	0.9456109
sum	vital	0.9456109
sum	want	0.9456109
sum	was't	0.9456109
suspense	vital	0.9456109
suspense	want	0.9456109
suspense	was't	0.9456109
balm	spirit	0.9444444
audience	spirit	0.9444444
drew	spirit	0.9444444
features	spirit	0.9444444
flying	spirit	0.9444444
growth	spirit	0.9444444
lifted	spirit	0.9444444
opposing	spirit	0.9444444
patience	spirit	0.9444444
spirit	tooth	0.9444444
ah	die	0.94345635
breeze	die	0.94345635
die	pod	0.94345635
die	stepped	0.94345635
blue	trouble	0.9415545
abroad	grant	0.9414689
air	knowing	0.9386293
blue	neighbors	0.93724036
closed	spirit	0.9370426
abide	tropic	0.9370426
anew	perish	0.9370426
arctic	green	0.9370426
bravest	green	0.9370426
carts	perish	0.9370426
different	hay	0.9370426
dropped	twere	0.9370426
event	twere	0.9370426
floods	hay	0.9370426
girl	notice	0.9370426
green	tremendous	0.9370426
hay	plucking	0.9370426
hay	pushed	0.9370426
hay	turns	0.9370426
perceive	perfect	0.9370426
perfect	yield	0.9370426
perish	stranger	0.9370426
seas	tropic	0.9370426
smiling	twere	0.9370426
suppose	twere	0.9370426
twere	wings	0.9370426
abide	fathoms	0.9370426
abide	haunt	0.9370426
abide	ought	0.9370426
abide	remove	0.9370426
abide	sinew	0.9370426
abide	start	0.9370426
abides	clause	0.9370426
abides	hinder	0.9370426
abides	mention	0.9370426
abode	adjoining	0.9370426
abode	chilly	0.9370426
abode	dyes	0.9370426
abode	ears	0.9370426
abode	poetry	0.9370426
abode	supposed	0.9370426
abode	travelled	0.9370426
acclimated	girl	0.9370426
achieve	o'er	0.9370426
achieve	pound	0.9370426
achieve	says	0.9370426
achieve	seek	0.9370426
achieve	steady	0.9370426
achieve	stiller	0.9370426
achieve	triumph	0.9370426
achieve	wild	0.9370426
acquaintance	eden	0.9370426
acquaintance	forgot	0.9370426
acquaintance	humming	0.9370426
acquire	patient	0.9370426
acquire	thanksgiving	0.9370426
acres	prospective	0.9370426
added	taste	0.9370426
adjoining	color	0.9370426
adjoining	creature	0.9370426
adjust	different	0.9370426
adjust	floods	0.9370426
adjust	plucking	0.9370426
adjust	pushed	0.9370426
adjust	turns	0.9370426
adored	breaks	0.9370426
adored	broke	0.9370426
adored	shawl	0.9370426
adorned	clouds	0.9370426
adorned	decade	0.9370426
adorned	hair	0.9370426
adorned	village	0.9370426
adorned	wherefore	0.9370426
advanced	brook	0.9370426
advanced	equally	0.9370426
advanced	sealed	0.9370426
afflicts	arctic	0.9370426
afflicts	bravest	0.9370426
afflicts	tremendous	0.9370426
afterward	wandering	0.9370426
age	truth	0.9370426
ago	anew	0.9370426
ago	carts	0.9370426
ago	stranger	0.9370426
altered	blush	0.9370426
altered	brave	0.9370426
altered	closed	0.9370426
amplitude	blush	0.9370426
amplitude	brave	0.9370426
amplitude	closed	0.9370426
anew	blossom	0.9370426
anew	bud	0.9370426
anew	fragrant	0.9370426
anew	harm	0.9370426
anew	hurt	0.9370426
anew	meridian	0.9370426
anew	noise	0.9370426
anew	separate	0.9370426
anew	sue	0.9370426
anew	unless	0.9370426
anew	wide	0.9370426
antiquated	patient	0.9370426
antiquated	thanksgiving	0.9370426
apologize	deem	0.9370426
apparition	circumference	0.9370426
apparition	looking	0.9370426
apparition	paused	0.9370426
apron	brook	0.9370426
apron	equally	0.9370426
apron	sealed	0.9370426
arctic	detect	0.9370426
arctic	fine	0.9370426
arctic	holds	0.9370426
arctic	interview	0.9370426
arctic	inundation	0.9370426
arctic	laws	0.9370426
arctic	mountain	0.9370426
arctic	passes	0.9370426
arctic	rich	0.9370426
arctic	rivet	0.9370426
arctic	science	0.9370426
arctic	shelf	0.9370426
arctic	shows	0.9370426
arise	failed	0.9370426
astir	aware	0.9370426
astir	remorse	0.9370426
astral	dimly	0.9370426
astral	formula	0.9370426
awake	playing	0.9370426
aware	confidence	0.9370426
aware	dip	0.9370426
aware	forest	0.9370426
aware	gray	0.9370426
aware	match	0.9370426
aware	mornings	0.9370426
aware	reserved	0.9370426
aware	ribbon	0.9370426
aware	stile	0.9370426
awkward	eden	0.9370426
awkward	forgot	0.9370426
awkward	humming	0.9370426
ball	bumble	0.9370426
ball	escape	0.9370426
ball	touched	0.9370426
base	patient	0.9370426
base	thanksgiving	0.9370426
basis	girl	0.9370426
become	blush	0.9370426
become	brave	0.9370426
become	closed	0.9370426
bed	circumference	0.9370426
bed	looking	0.9370426
bed	paused	0.9370426
bee's	bumble	0.9370426
bee's	escape	0.9370426
bee's	touched	0.9370426
beheld	girl	0.9370426
being's	taste	0.9370426
belong	different	0.9370426
belong	floods	0.9370426
belong	plucking	0.9370426
belong	pushed	0.9370426
belong	turns	0.9370426
beloved	dissolved	0.9370426
beloved	secreted	0.9370426
berries	clouds	0.9370426
berries	decade	0.9370426
berries	hair	0.9370426
berries	village	0.9370426
berries	wherefore	0.9370426
berry	creation	0.9370426
berry	dot	0.9370426
berry	fashions	0.9370426
berry	flasks	0.9370426
berry	had'st	0.9370426
berry	heal	0.9370426
berry	ill	0.9370426
berry	leaf	0.9370426
berry	pattern	0.9370426
berry	played	0.9370426
berry	shore	0.9370426
berry	song	0.9370426
beryl	eden	0.9370426
beryl	forgot	0.9370426
beryl	humming	0.9370426
big	patient	0.9370426
big	thanksgiving	0.9370426
bird's	ring	0.9370426
bird's	twill	0.9370426
blame	letter	0.9370426
blame	streets	0.9370426
blame	window	0.9370426
bless	woman's	0.9370426
blossom	carts	0.9370426
blossom	stranger	0.9370426
blur	deem	0.9370426
blush	clay	0.9370426
blush	friends	0.9370426
blush	haunting	0.9370426
blush	rapture	0.9370426
blush	taught	0.9370426
blush	thirst	0.9370426
bobolink	ring	0.9370426
bobolink	twill	0.9370426
bodice	brook	0.9370426
bodice	equally	0.9370426
bodice	sealed	0.9370426
bondage	girl	0.9370426
boot	patient	0.9370426
boot	thanksgiving	0.9370426
borne	truth	0.9370426
borrow	deem	0.9370426
brave	clay	0.9370426
brave	friends	0.9370426
brave	haunting	0.9370426
brave	rapture	0.9370426
brave	taught	0.9370426
brave	thirst	0.9370426
bravest	detect	0.9370426
bravest	fine	0.9370426
bravest	holds	0.9370426
bravest	interview	0.9370426
bravest	inundation	0.9370426
bravest	laws	0.9370426
bravest	mountain	0.9370426
bravest	passes	0.9370426
bravest	rich	0.9370426
bravest	rivet	0.9370426
bravest	science	0.9370426
bravest	shelf	0.9370426
bravest	shows	0.9370426
breaks	race	0.9370426
broke	race	0.9370426
brook	enable	0.9370426
brook	hospitality	0.9370426
brook	lutes	0.9370426
brook	ma	0.9370426
brook	sense	0.9370426
brook	split	0.9370426
brook	table	0.9370426
brook	width	0.9370426
brow	crescent	0.9370426
brow	definition	0.9370426
brow	entire	0.9370426
brown	clouds	0.9370426
brown	decade	0.9370426
brown	hair	0.9370426
brown	village	0.9370426
brown	wherefore	0.9370426
bud	carts	0.9370426
bud	stranger	0.9370426
buds	clouds	0.9370426
buds	decade	0.9370426
buds	hair	0.9370426
buds	village	0.9370426
buds	wherefore	0.9370426
bumble	fading	0.9370426
bumble	slid	0.9370426
bumble	species	0.9370426
bumble	violets	0.9370426
burn	dissolved	0.9370426
burn	secreted	0.9370426
bustle	dissolved	0.9370426
bustle	secreted	0.9370426
butterflies	eden	0.9370426
butterflies	forgot	0.9370426
butterflies	humming	0.9370426
canvas	toil	0.9370426
cared	perceive	0.9370426
cared	yield	0.9370426
carnations	girl	0.9370426
carried	truth	0.9370426
carts	fragrant	0.9370426
carts	harm	0.9370426
carts	hurt	0.9370426
carts	meridian	0.9370426
carts	noise	0.9370426
carts	separate	0.9370426
carts	sue	0.9370426
carts	unless	0.9370426
carts	wide	0.9370426
cashmere	girl	0.9370426
cause	homesick	0.9370426
cause	ones	0.9370426
centre	patient	0.9370426
centre	thanksgiving	0.9370426
chair	girl	0.9370426
cheek	toil	0.9370426
childhood	different	0.9370426
childhood	floods	0.9370426
childhood	plucking	0.9370426
childhood	pushed	0.9370426
childhood	turns	0.9370426
chilly	color	0.9370426
chilly	creature	0.9370426
chin	toil	0.9370426
chose	dimly	0.9370426
chose	formula	0.9370426
circumference	decree	0.9370426
circumference	design	0.9370426
circumference	forth	0.9370426
circumference	houses	0.9370426
circumference	loud	0.9370426
circumference	portentous	0.9370426
circumference	sands	0.9370426
circumference	signs	0.9370426
circumstances	toil	0.9370426
clause	disclosed	0.9370426
clause	impotent	0.9370426
clause	lip	0.9370426
clause	polite	0.9370426
clause	sung	0.9370426
clause	veins	0.9370426
clay	closed	0.9370426
closed	friends	0.9370426
closed	haunting	0.9370426
closed	rapture	0.9370426
closed	taught	0.9370426
closed	thirst	0.9370426
clouds	crowd	0.9370426
clouds	dissolve	0.9370426
clouds	dry	0.9370426
clouds	eider	0.9370426
clouds	fainting	0.9370426
clouds	finger	0.9370426
clouds	forces	0.9370426
clouds	intact	0.9370426
clouds	pours	0.9370426
clouds	robin	0.9370426
clouds	robins	0.9370426
clouds	runs	0.9370426
clouds	simplicity	0.9370426
coat	dropped	0.9370426
coat	event	0.9370426
coat	smiling	0.9370426
coat	suppose	0.9370426
coat	wings	0.9370426
color	dyes	0.9370426
color	ears	0.9370426
color	poetry	0.9370426
color	supposed	0.9370426
color	travelled	0.9370426
common	truth	0.9370426
conclude	confident	0.9370426
conclude	value	0.9370426
confidence	remorse	0.9370426
confident	confirm	0.9370426
confident	entered	0.9370426
confident	lark	0.9370426
confident	perpetual	0.9370426
confident	red	0.9370426
confident	repaired	0.9370426
confident	standing	0.9370426
confident	struggle	0.9370426
confident	theirs	0.9370426
confirm	value	0.9370426
contain	dissolved	0.9370426
contain	secreted	0.9370426
contained	used	0.9370426
corn	patient	0.9370426
corn	thanksgiving	0.9370426
covenant	prospective	0.9370426
covered	truth	0.9370426
covert	letter	0.9370426
covert	streets	0.9370426
covert	window	0.9370426
craft	girl	0.9370426
creator	woman's	0.9370426
creature	dyes	0.9370426
creature	ears	0.9370426
creature	poetry	0.9370426
creature	supposed	0.9370426
creature	travelled	0.9370426
crescent	daffodil	0.9370426
crescent	ghost	0.9370426
crescent	holy	0.9370426
crescent	location's	0.9370426
crescent	salary	0.9370426
crescent	souvenir	0.9370426
crescent	undone	0.9370426
crescent	walking	0.9370426
crimson	eden	0.9370426
crimson	forgot	0.9370426
crimson	humming	0.9370426
crow	used	0.9370426
crowd	decade	0.9370426
crowd	hair	0.9370426
crowd	village	0.9370426
crowd	wherefore	0.9370426
cruising	dimly	0.9370426
cruising	formula	0.9370426
daffodil	definition	0.9370426
daffodil	entire	0.9370426
dainty	ring	0.9370426
dainty	twill	0.9370426
dared	homesick	0.9370426
dared	ones	0.9370426
darling	faithful	0.9370426
darling	glad	0.9370426
darling	pink	0.9370426
darling	warm	0.9370426
dazzled	failed	0.9370426
death's	toil	0.9370426
decade	dissolve	0.9370426
decade	dry	0.9370426
decade	eider	0.9370426
decade	fainting	0.9370426
decade	finger	0.9370426
decade	forces	0.9370426
decade	intact	0.9370426
decade	pours	0.9370426
decade	robin	0.9370426
decade	robins	0.9370426
decade	runs	0.9370426
decade	simplicity	0.9370426
decay	taste	0.9370426
decree	looking	0.9370426
decree	paused	0.9370426
deem	diadem	0.9370426
deem	keeper	0.9370426
deem	lingering	0.9370426
deem	toes	0.9370426
deem	violet	0.9370426
defeat	wandering	0.9370426
defeated	homesick	0.9370426
defeated	ones	0.9370426
definition	ghost	0.9370426
definition	holy	0.9370426
definition	location's	0.9370426
definition	salary	0.9370426
definition	souvenir	0.9370426
definition	undone	0.9370426
definition	walking	0.9370426
demand	prospective	0.9370426
den	failed	0.9370426
departed	wandering	0.9370426
descending	dissolved	0.9370426
descending	secreted	0.9370426
descried	ring	0.9370426
descried	twill	0.9370426
